DateTime,Description,Plant Code,Alarm Group,Alarm State,Value,Operator,Operator Node
12/15/2024 00:01:54.713,"PLC to UNIC HW, Start command, OS7302",CFC041A302INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:54.787,Engine sequence: Start preparation,SOB041E202INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:54.787,Engine sequence: Starting,SOB041E203INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:54.903,Engine ready for start,SCA041IS872ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:54.903,"MCC, degassing valve control",SCA031CV947ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:01:55.902,Engine ready for start,SCA041IS872ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:55.902,"Engine status, start mode",SCA041IS871ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:55.902,"Engine status, stop mode",SCA041IS878ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:01:55.902,Remote start,SCA041OS7302ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:55.902,Slowturning solenoid,SCA041CV331ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:01:56.844,Radiator freq. conv. running,BLP031M001RNI,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:59.110,"UNIC to PLC HW, AVR activation (70% speed), IS183",CFC031A322INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:01:59.474,AVR excitation on,BAE031S005ACK,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.029,"ALM, GRU, Main line gas inlet pressure high",ZAC031P010AH,Genset_3,ACK_ALM,ON,Manager1,CWA901
12/15/2024 00:02:02.029,"ALM, GRU, Main line gas inlet pressure high",ZAC121P010AH,Genset_12,ACK_ALM,ON,Manager1,CWA901
12/15/2024 00:02:02.044,Shutdown and alarm reset,CFA902S011RSC,Common,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC121S011RSC,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC111S011RSC,Genset_11,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC101S011RSC,Genset_10,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC091S011RSC,Genset_9,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC081S011RSC,Genset_8,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC071S011RSC,Genset_7,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC061S011RSC,Genset_6,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC051S011RSC,Genset_5,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC041S011RSC,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC031S011RSC,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC021S011RSC,Genset_2,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown reset,CFC011S011RSC,Genset_1,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.044,Shutdown and alarm reset,CFA901S011RSC,Common,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.083,"PLC to UNIC HW, Shutdown reset, OS7308",CFC111A301INF,Genset_11,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.090,"PLC to UNIC HW, Shutdown reset, OS7308",CFC051A301INF,Genset_5,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.092,"PLC to UNIC HW, Shutdown reset, OS7308",CFC041A301INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.112,"PLC to UNIC HW, Shutdown reset, OS7308",CFC071A301INF,Genset_7,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.112,"PLC to UNIC HW, Shutdown reset, OS7308",CFC081A301INF,Genset_8,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.123,"PLC to UNIC HW, Shutdown reset, OS7308",CFC031A301INF,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.129,"PLC to UNIC HW, Shutdown reset, OS7308",CFC011A301INF,Genset_1,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.131,"PLC to UNIC HW, Shutdown reset, OS7308",CFC121A301INF,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.135,"PLC to UNIC HW, Shutdown reset, OS7308",CFC091A301INF,Genset_9,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.141,"PLC to UNIC HW, Shutdown reset, OS7308",CFC061A301INF,Genset_6,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.144,"PLC to UNIC HW, Shutdown reset, OS7308",CFC021A301INF,Genset_2,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.158,"PLC to UNIC HW, Shutdown reset, OS7308",CFC101A301INF,Genset_10,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.202,Shutdown reset,CFC071S011RSC,Genset_7,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.282,Shutdown reset,CFC081S011RSC,Genset_8,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.298,Shutdown reset,CFC061S011RSC,Genset_6,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.313,Shutdown reset,CFC101S011RSC,Genset_10,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.360,Shutdown reset,CFC051S011RSC,Genset_5,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.360,Shutdown reset,CFC121S011RSC,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.376,Shutdown reset,CFC091S011RSC,Genset_9,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.407,Shutdown reset,CFC031S011RSC,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.423,Shutdown reset,CFC011S011RSC,Genset_1,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.438,Shutdown reset,CFC111S011RSC,Genset_11,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.454,Shutdown reset,CFC041S011RSC,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:02.768,Remote shutdown reset,SCA121OS7308ING,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.768,Remote shutdown reset,SCA101OS7308ING,Genset_10,         ,ON,WOIS,CWA901
