DateTime,Description,Plant Code,Alarm Group,Alarm State,Value,Operator,Operator Node
12/15/2024 00:02:54.106,"Gas shutoff valve status, V034",ZAC231V034INF,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:54.532,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:54.532,Start solenoid valve,SCA231CV321ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:54.547,"MCC, degassing valve control",SCA231CV947ING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:54.547,"PCC, degassing valve control",SCA231CV957ING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:54.547,Open gas supply,SCA231OS931OING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:56.451,"UNIC to PLC HW, Open gas supply request, OS9310",CFC231A328INF,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:56.534,"Gas shutoff valve status, V034",ZAC231V034INF,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:56.537,Start solenoid valve,SCA221CV321ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:56.537,Slowturning solenoid,SCA221CV331ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:56.537,Fuel limiter active,SCA221IS1001ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:56.552,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:57.538,"Engine status, start mode",SCA221IS871ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:57.538,"Engine status, run mode",SCA221IS883ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:57.554,Engine gas ventilation complete,SCA231IS884ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:57.554,Open gas supply,SCA231OS931OING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:57.847,"DER, Trec, Charge air temp in receiver",SOB221F153INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:57.847,"DER, Pgas, Gas feed pressure",SOB221F159INF,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:58.524,Fuel limiter active,SCA231IS1001ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:58.539,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:58.539,"MCC, degassing valve control",SCA231CV947ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:59.554,"MCC, degassing valve control",SCA231CV947ING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:59.722,"UNIC to PLC HW, Engine running (40% speed), IS181",CFC221A321INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:59.804,"STB, Start block active from PLC",CFC221A200SBI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:59.804,Engine sequence: Idle running,SOB221E204INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:59.804,Engine sequence: Starting,SOB221E203INF,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:59.804,"STB, Engine running",CFC221S007SBI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:03:00.085,Auxiliary ventilation fan 2 remote mode,UVB221M002CEI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:03:00.085,Auxiliary ventilation fan 1 running,UVB221M001RNI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:03:00.263,Prelubrication pump running,QEP221M001RNI,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:03:00.263,Generator anticond. heater on,BAG221B001RNI,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:03:00.263,Preheating pump 1 running,VDA221M001RNI,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:03:00.694,Roof outlet ventilation freq. conv. running,BLQ222M001RNI,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:03:01.543,"MCC, degassing valve control",SCA231CV947ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:03:02.061,"ALM, Inlet ventilation FC Start/Stop fault",BLQ221M001AFI,Genset_22,UNACK_ALM,ON,WOIS,CWA903
12/15/2024 00:03:02.544,"MCC, degassing valve control",SCA231CV947ING,Genset_23,         ,OFF,WOIS,CWA903
